Subject Name,University Name,Per Year Fees,About Program,Program Duration,University Location,Program Name
Data Analytics and Business Computing,New York University,"63,109 EUR / year",The Data Analytics and Business Computing MSc program from New York University seeks to prepare pre-experience students with a strong analytical background for careers in a fast-growing field of business analytics.,1 year,Multiple locations,M.Sc. / Full-time / On Campus
Accounting with Data and Analytics,Indiana University Northwest,"37,413 EUR / year","If you are interested in becoming a certified public accountant and want to develop deeper subject‐matter expertise and data-analytics skills, then the Master of Science in Accounting with Data and Analytics from Indiana University Northwest is ideal for you.",1 year,"Bloomington, Indiana, United States",M.Sc. / Full-time / On Campus
Management- Data Analytics (Online),Indiana Wesleyan University,"11,050 EUR / year",Management- Data Analytics (Online) is offered by Indiana Wesleyan University. Build real-world solutions and strategies for complex organizational problems.,"1 year, 3 months",Online,M.Sc. / Part-time / Online
Business Administration - Predictive Analytics and Data Visualization,Davenport University,"16,707 EUR / year",Learn how to better understand customer needs and business processes in ways that drive business results with Davenport University's Master of Business Administration - Predictive Analytics and Data Visualization.,1 year,"Caledonia, Wisconsin, United States","M.B.A. / Full-time, Part-time / Online, On Campus"
Data Analytics in Business (Online),Seattle Pacific University,"18,662 EUR / year","The Data Analytics in Business (Online) program at Seattle Pacific University will build on your passion to gather, organize, and analyze data - and enable you to use your purpose-driven leadership skills to extract meaning from raw data and transform it into a usable asset that can make a difference.",2 years,"Seattle, Washington, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Accounting Data and Analytics,Golden Gate University,"30,171 EUR / year","The Master of Science in Accounting Data and Analytics (MSADA) at Golden Gate University bridges advanced accounting concepts with data analytics, and will equip students with essential skills and knowledge to compete in the evolving realities of the profession.",1 year,"San Francisco, California, United States","M.Sc. / Full-time, Part-time / Online, On Campus, Blended"
Data Analytics,Fairfax University of America,"12,057 EUR / year","Data Analytics at Fairfax University of America involves examining information to find resourceful facts and figures for making business decisions. Despite this simple definition, the field of study can be highly complex and features numerous steps. ",1 year,"Fairfax, Virginia, United States",M.Sc. / Full-time / On Campus
Criminal Justice Data Analytics,Marquette University,"18,519 EUR / year",Evidence-based decision-making that is informed by consideration of data is a key feature of the modern criminal justice system. The Criminal Justice Data Analytics program at Marquette University will prepare students to become data analysts who are able to consider the full range of ethical and social implications of these decisions.,2 years,"Milwaukee, Wisconsin, United States","Master / Full-time, Part-time / Online, On Campus"
Data Analytics and Applied Social Research,The City University of New York,"23,666 EUR / year","In our Data Analytics and Applied Social Research master at The City University of New York you’ll learn how to conduct research, analyze large and messy datasets, and make the kinds of discoveries that lead to important decision making. Learning how to use the power of data will make you an invaluable asset for any forward-moving organization.",1 year,"New York City, New York, United States",M.A. / Full-time / On Campus
Business Management - Large Scale Data Analysis Track,The City University of New York,"23,666 EUR / year","The Master of Science in Business Management - Large Scale Data Analysis Track at The City University of New York is designed for a broad spectrum of students with undergraduate degrees in business and
related fields, it is focused on strategic management and accounting skills with required courses in major decision-making areas. ",1 year,"New York City, New York, United States",M.Sc. / Full-time / On Campus
Data Intelligence and GeoAnalytics,Saint Mary's University of Minnesota,"12,124 EUR / year",Saint Mary's University of Minnesota has long been a leader in providing students with the educational foundation and in-field experience necessary for successful careers and leadership positions in Data Intelligence and GeoAnalytics.,2 years,"Winona, Mississippi, United States",M.Sc. / Full-time / Blended
Statistics - Advanced Methods and Data Analysis,University of Washington,"29,996 EUR / year","University of Washington's Department of Statistics offers a fee-based Master of Science (MS) Track ""Statistics - Advanced Methods and Data Analysis."" The track is intended for full-time international and domestic students who wish to obtain a rigorous training in Statistics. ",2 years,"Seattle, Washington, United States",M.Sc. / Full-time / On Campus
Information Design and Data Visualization,Northeastern University,"55,920 EUR / year","The Master of Science in Information Design and Data Visualization at
Northeastern University is a research- and analysis-oriented program focusing on visual interfaces to communicate and explore digital information.",1 year,"Boston, Massachusetts, United States",M.Sc. / Full-time / On Campus
Legal Studies - Cybersecurity and Data Privacy,Loyola Marymount University,"31,444 EUR / year","Loyola Marymount University's Master of Science in Legal Studies with a specialization in Cybersecurity & Data Privacy Law, will immerse you in the relevant law and teach you the tools and skills to comply with legal requirements to protect information and data, making you an asset to current or future employer.",1½ year,"Los Angeles, California, United States",Master / Full-time / On Campus
Research Psychology and Data Analysis,Azusa Pacific University,"24,912 EUR / full",Azusa Pacific University’s Master of Science in Research Psychology and Data Analysis program prepares you with the necessary experiences to be competitive for doctoral programs and pursue careers in psychological research.,11 months,"Pacific, Missouri, United States",M.Sc. / Full-time / On Campus
Agricultural and Resource Econ - Applied Econometrics and Data Analytics,The University of Arizona,"31,370 EUR / year",The Agricultural and Resource Econ - Applied Econometrics and Data Analytics and Data Analytics degree from The University of Arizona requires 30 units of approved graduate courses.  ,1 year,"Tucson, Arizona, United States",M.Sc. / Full-time / On Campus
Accountancy Data Analytics,Northern Kentucky University,"14,006 EUR / year",Deepen your corporate accounting and accounting analytics expertise while specifically targeting a high-growth career path in the online Master of Accountancy Data Analytics/Data Visualization Track program from Northern Kentucky University.,10 months,Online,Master / Part-time / Online
Special Education- Data Directed Student Progress (Online),University of Southern Maine,"12,262 EUR / year",Special Education- Data Directed Student Progress (Online) is offered by University of Southern Maine. Enhance the lives and abilities of exceptional students with the online Master of Science in Special Education with a Concentration in Data Directed Student Progress in Special Education from the University of Southern Maine (USM).,1 year,Online,M.Sc. / Part-time / Online
Data Analytics,University of Michigan Flint,"15,988 EUR / year","Data Analytics at University of Michigan Flint program can kick-start their careers in many industries, such as consulting, financial services, healthcare, and technology.","2 years, 8 months",Online,M.Sc. / Part-time / Online
Information Design and Data Visualization,Northeastern University,"45,435 EUR / year","The MFA Information Design and Data Visualization program at Northeastern
University trains students in harnessing visual languages to support discovery and communicate information across a range of disciplines.",2 years,"Boston, Massachusetts, United States",Master / Full-time / On Campus
Data Analyst,Simplilearn,"1,099 EUR / full","This Data Analyst from Simplilearn course gives you the information you need to successfully start working with SQL databases and make use of the database in your applications. Learn the concepts of fundamental SQL statements, conditional statements. ",11 months,Online,M.Sc. / Part-time / Online
Applied Statistics and Data Analytics,Southern Methodist University,"48,578 EUR / year",Applied Statistics and Data Analytics from Southern Methodist University can help you take the next step to advance into this new and highly sought-after field.,1½ year,"Dallas, Oregon, United States","M.Sc. / Full-time, Part-time / On Campus"
Data Analytics and Visualization,Maryland Institute College of Art,"17,300 EUR / year","Maryland Institute College of Art (MICA) developed the Master of Professional Studies (M.P.S.) in Data Analytics and Visualization program to teach professionals how to represent information and data in a visual and impactful way with the use of graphics, images, and dynamic interactive features.","1 year, 3 months",Online,Master / Part-time / Online
Information Technology Management - AI and Data Analytics,University of Wisconsin Milwaukee,"23,709 EUR / year","The Master of Science in Information Technology Management - AI and Data Analytics program at the University of Wisconsin Milwaukee is an innovative, STEM-designated program that combines technical, managerial, and business knowledge - providing students with a unique blend of skills to address IT challenges in today's dynamic business environment.",1 year,"Milwaukee, Wisconsin, United States",M.Sc. / Full-time / On Campus
Data-Driven Decision Making Certificate,Temple University,"16,043 EUR / full","The Data-Driven Decision Making Certificate program in the College of Education and Human Development  at Temple University provides students with the knowledge to collect, analyze and use data to make informed decisions.",,"Philadelphia, Pennsylvania, United States","Postgraduate Certificate / Full-time, Part-time / On Campus"
Computer Information Technology - Data Analytics,Northern Arizona University,"13,508 EUR / year","The Computer Information Technology - Data Analytics degree at Northern Arizona University takes the interdisciplinary and global approach needed to prepare you to address technology issues and the changes borne of technical advancements. Here, you can accelerate your career, boost your skill set, and learn to operate more effectively in a variety of professional environments.",1 year,Online,Master / Part-time / Online
Datacenter Systems Engineering,Southern Methodist University,"33,215 EUR / year",Students entering the Datacenter Systems Engineering program at Southern Methodist University with an undergraduate degree other than in engineering or one of the physical sciences or mathematics may be asked to articulate the necessary courses.,1 year,"Dallas, Oregon, United States",M.Sc. / Full-time / On Campus
Information Technology - Database Design Online,Southern New Hampshire University,"16,660 EUR / year","Databases are the backbone of almost every business, and with the Master of Science in Information Technology - Database Design Online degree from Southern New Hampshire University, you’ll develop the skills necessary to successfully design databases.","1 year, 3 months",Online,M.Sc. / Part-time / Online
